Type,word1,word2,word3,word4,word5,word6,word7,word8
machine learning,field,Computer ,Science,statistical,techniques,pattern,recognition,filtering
machine learning,computational,unsupervise,supervised,data,mining,scientists,prediction,learn
machine learning,computational,unsupervise,supervised,data,mining,scientists,prediction,learn
machine learning,field,Computer ,Science,statistical,techniques,pattern,recognition,filtering
machine learning,field,Computer ,Science,statistical,techniques,pattern,recognition,filtering
machine learning,field,Computer ,Science,statistical,techniques,pattern,recognition,filtering
machine learning,field,Computer ,Science,statistical,techniques,pattern,recognition,filtering
machine learning,analystics,automates,human,make,decision,minimal,intervention,analystic
machine learning,branch,idea,identify,pattern,decision,make,analytical,model
machine learning,branch,idea,identify,pattern,decision,make,analytical,model
Big Data,large,extremely,data,sets,voluminous,complex,data,storage
Big Data,large,extremely,data,sets,voluminous,complex,data,storage
Big Data,variety,velocity,volume,capture,sharing,transfer,visualization,analysis
Big Data,business,informatics,big,data,grow,rapidly,diverse,big
Big Data,business,informatics,big,data,grow,rapidly,diverse,big
Big Data,business,informatics,big,data,grow,rapidly,diverse,big
Big Data,variety,velocity,volume,capture,sharing,transfer,visualization,analysis
Big Data,variety,velocity,volume,capture,sharing,transfer,visualization,analysis
Big Data,variety,velocity,volume,capture,sharing,transfer,visualization,analysis
Big Data,variety,velocity,volume,capture,sharing,transfer,visualization,analysis
